objectid,filename,youtubeid,title,titleplus,creator,date,description,subject,location,latitude,longitude,collection,source,identifier,type,format,language,rights,rightsstatement
fortyork1,3dprinter.jpg,,Fort York,Fort York | Toronto Public Library ,Toronto Public Library ,2022,Available: 3D printers and a variety of design software.,3D Printer,"190 Fort York Boulevard
Toronto
M5V 0E7",43.64012934,-79.40075596,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/3D-design-print.jsp,,image,,Unsplash / eMotion Tech,/credits.html
fortyork2,computing.jpg,,Fort York,Fort York | Toronto Public Library ,Toronto Public Library ,2022,instructional booklet and all the components needed to complete projects in the booklet. There are three kits for different skill levels.,Computing and Coding Equipment ,"190 Fort York Boulevard
Toronto
M5V 0E7",43.64012934,-79.40075596,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/arduino.jsp,,image,,Unsplash / Alessandro Oliverio,/credits.html
fortyork3,software.jpg,,Fort York,Fort York | Toronto Public Library ,Toronto Public Library ,2022,"Available: software for digital learning and creation, including Adobe Creative Cloud; Wacom Cintiq graphic tablets.",Design and Software Studio ,"190 Fort York Boulevard
Toronto
M5V 0E7",43.64012934,-79.40075596,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,Unsplash / Carl Heyerdahl,/credits.html
fortyork4,recording.jpg,,Fort York,Fort York | Toronto Public Library ,Toronto Public Library ,2022,"Available: iMac with Adobe CC, Final Cut Pro X, Logic Pro X and Ableton Live; Studio speakers; Microphones; Microphone Stands and Cables; USB Audio Interface; MIDI Interfaces; Video Camera (including tripods, cables); DSLR Camera (including tripods, cables); LED Studio Lighting; Headphones; Green screen/Green wall.",Recording Studio and Equipment ,"190 Fort York Boulevard
Toronto
M5V 0E7",43.64012934,-79.40075596,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/recording-studio.jsp,,image,,Unsplash / Will Francis,/credits.html
lillianhsmith1,software.jpg,,Lillian H. Smith,Lillian H. Smith | Toronto Public Library ,Toronto Public Library ,2022,"Available: software for digital learning and creation, including Adobe Creative Cloud.",Design and Software Studio ,"
239 College Street
Toronto, ON  M5T 1R5",43.6579995,-79.3982445,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,Unsplash / Carl Heyerdahl,/credits.html
malvern1,software.jpg,,Malvern,Malvern | Toronto Public Library ,Toronto Public Library ,2022,"Available: software for digital learning and creation, including Adobe Creative Cloud.",Design and Software Studio ,"30 Sewells Road 
Toronto, ON  M1B 3G5",43.80829573,-79.21590579,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,Unsplash / Carl Heyerdahl,/credits.html
mariaashchuka1,software.jpg,,Maria A. Shchuka,Maria A. Shchuka | Toronto Public Library ,Toronto Public Library ,2022,"Available: software for digital learning and creation, including Adobe Creative Cloud.",Design and Software Studio ,"1745 Eglinton Avenue West 
Toronto, ON  M6E 2H4",43.69628246,-79.44726957,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,Unsplash / Carl Heyerdahl,/credits.html
mariaashchuka2,scanner.jpg,,Maria A. Shchuka,Maria A. Shchuka | Toronto Public Library ,Toronto Public Library ,2022,"Available: Epson V600 photo, negative, slide and document scanner.",Digitization and Document Equipment ,"1746 Eglinton Avenue West 
Toronto, ON  M6E 2H4",43.69628246,-79.44726957,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,CC BY 3.0 / gratuit ,/credits.html
northerndistrict1,software.jpg,,Northern District,Northern District | Toronto Public Library ,Toronto Public Library ,2022,"Available: software for digital learning and creation, including Adobe Creative Cloud.",Design and Software Studio ,"40 Orchard View Boulevard 
Toronto, ON  M4R 1B9",43.70844889,-79.39964274,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,Unsplash / Carl Heyerdahl,/credits.html
northyorkcentrallibrary1,3dprinter.jpg,,North York Central Library,North York Central Library | Toronto Public Library ,Toronto Public Library ,2022,Available: 3D printers and a variety of design software.,3D Printer,"5120 Yonge Street
Toronto
M2N 5N9",43.76888737,-79.4144405,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/3D-design-print.jsp,,image,,Unsplash / eMotion Tech,/credits.html
northyorkcentrallibrary2,computing.jpg,,North York Central Library,North York Central Library | Toronto Public Library ,Toronto Public Library ,2022,"Available: Arduino Kits can be taken home or used in the library. Kits include the Arduino itself, an instructional booklet and all the components needed to complete projects in the booklet. There are three kits for different skill levels.",Computing and Coding Equipment ,"5120 Yonge Street
Toronto
M2N 5N9",43.76888737,-79.4144405,Circulating,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/arduino.jsp,,image,,Unsplash / Alessandro Oliverio,/credits.html
northyorkcentrallibrary3,crafting.jpg,,North York Central Library,North York Central Library | Toronto Public Library ,Toronto Public Library ,2022,Available: Button Maker,Crafting Tools,"5120 Yonge Street
Toronto
M2N 5N9",43.76888737,-79.4144405,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/fabrication-studio.jsp,,image,,Unsplash / Jorge Franganillo,/credits.html
northyorkcentrallibrary4,software.jpg,,North York Central Library,North York Central Library | Toronto Public Library ,Toronto Public Library ,2022,"Available: software for digital learning and creation, including Adobe Creative Cloud; Wacom Cintiq graphic tablets.",Design and Software Studio ,"5120 Yonge Street
Toronto
M2N 5N9",43.76888737,-79.4144405,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,Unsplash / Carl Heyerdahl,/credits.html
northyorkcentrallibrary5,scanner.jpg,,North York Central Library,North York Central Library | Toronto Public Library ,Toronto Public Library ,2022,"Available: Epson V600 photo, negative, slide and document scanner.",Digitization and Document Equipment ,"5120 Yonge Street
Toronto
M2N 5N9",43.76888737,-79.4144405,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/scanners/,,image,,CC BY 3.0 / gratuit ,/credits.html
northyorkcentrallibrary6,recording.jpg,,North York Central Library,North York Central Library | Toronto Public Library ,Toronto Public Library ,2022,"Available: iMac with Adobe CC, Final Cut Pro X, Logic Pro X and Ableton Live; Studio speakers; Microphones; Microphone Stands and Cables; USB Audio Interface; MIDI Interfaces; Video Camera (including tripods, cables); DSLR Camera (including tripods, cables); LED Studio Lighting; Headphones; Green screen/Green wall.",Recording Studio and Equipment ,"5120 Yonge Street
Toronto
M2N 5N9",43.76888737,-79.4144405,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/recording-studio.jsp,,image,,Unsplash / Will Francis,/credits.html
northyorkcentrallibrary6,fabric.jpg,,North York Central Library,North York Central Library | Toronto Public Library ,Toronto Public Library ,2022,Available: Singer 9985 Quantum Stylist Sewing Machine; Juki MO-735 Serger; Roland VersaSTUDIO BN-20 Vinyl Printer/Cutter; Hotronix Auto Clam Heat Press; Bliss Modeal A Fabric Cutter ; Brother Persona PRS100 Embroidery machine.,Style and Fabric Studio ,"5120 Yonge Street
Toronto
M2N 5N9",43.76888737,-79.4144405,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/fabrication-studio.jsp,,image,,Pexels / Ksenia Chernaya,/credits.html
richview1,3dprinter.jpg,,Richview,Richview | Toronto Public Library ,Toronto Public Library ,2022,Available: 3D printers and a variety of design software.,3D Printer,"1806 Islington Avenue
Toronto
M9P 3N3",43.68434671,-79.54150727,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/3D-design-print.jsp,,image,,Unsplash / eMotion Tech,/credits.html
richview2,computing.jpg,,Richview,Richview | Toronto Public Library ,Toronto Public Library ,2022,"Available: Arduino Kits can be taken home or used in the library. Kits include the Arduino itself, an instructional booklet and all the components needed to complete projects in the booklet. There are three kits for different skill levels.",Computing and Coding Equipment ,"1806 Islington Avenue
Toronto
M9P 3N3",43.68434671,-79.54150727,Circulating,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/arduino.jsp,,image,,Unsplash / Alessandro Oliverio,/credits.html
richview3,software.jpg,,Richview,Richview | Toronto Public Library ,Toronto Public Library ,2022,"Available: software for digital learning and creation, including Adobe Creative Cloud; Wacom Cintiq graphic tablets.",Design and Software Studio ,"1806 Islington Avenue
Toronto
M9P 3N3",43.68434671,-79.54150727,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,Unsplash / Carl Heyerdahl,/credits.html
richview4,scanner.jpg,,Richview,Richview | Toronto Public Library ,Toronto Public Library ,2022,"Available: Epson V600 photo, negative, slide and document scanner.",Digitization and Document Equipment ,"1806 Islington Avenue
Toronto
M9P 3N3",43.68434671,-79.54150727,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/scanners/,,image,,CC BY 3.0 / gratuit ,/credits.html
richview5,recording.jpg,,Richview,Richview | Toronto Public Library ,Toronto Public Library ,2022,"Available: iMac with Adobe CC, Final Cut Pro X, Logic Pro X and Ableton Live; Studio speakers; Microphones; Microphone Stands and Cables; USB Audio Interface; MIDI Interfaces; Video Camera (including tripods, cables); DSLR Camera (including tripods, cables); LED Studio Lighting; Headphones; Green screen/Green wall.",Recording Studio and Equipment ,"1806 Islington Avenue
Toronto
M9P 3N3",43.68434671,-79.54150727,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/recording-studio.jsp,,image,,Unsplash / Will Francis,/credits.html
scarboroughciviccentre1,3dprinter.jpg,,Scarborough Civic Centre,Scarborough Civic Centre | Toronto Public Library ,Toronto Public Library ,2022,Available: 3D printers and a variety of design software.,3D Printer,"156 Borough Drive
Toronto
M1P 4N7",43.77292015,-79.25721648,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/3D-design-print.jsp,,image,,Unsplash / eMotion Tech,/credits.html
scarboroughciviccentre2,computing.jpg,,Scarborough Civic Centre,Scarborough Civic Centre | Toronto Public Library ,Toronto Public Library ,2022,"Available: Arduino Kits can be taken home or used in the library. Kits include the Arduino itself, an instructional booklet and all the components needed to complete projects in the booklet. There are three kits for different skill levels.",Computing and Coding Equipment ,"156 Borough Drive
Toronto
M1P 4N7",43.77292015,-79.25721648,Circulating,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/arduino.jsp,,image,,Unsplash / Alessandro Oliverio,/credits.html
scarboroughciviccentre3,software.jpg,,Scarborough Civic Centre,Scarborough Civic Centre | Toronto Public Library ,Toronto Public Library ,2022,"Available: software for digital learning and creation, including Adobe Creative Cloud; Wacom Cintiq graphic tablets.",Design and Software Studio ,"156 Borough Drive
Toronto
M1P 4N7",43.77292015,-79.25721648,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,Unsplash / Carl Heyerdahl,/credits.html
swalterstewart1,software.jpg,,S. Walter Stewart,S. Walter Stewart | Toronto Public Library ,Toronto Public Library ,2022,"Available: software for digital learning and creation, including Adobe Creative Cloud.",Design and Software Studio ,"170 Memorial Park Avenue 
Toronto, ON  M4J 2K5",43.69242631,-79.329711,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,Unsplash / Carl Heyerdahl,/credits.html
swalterstewart2,scanner.jpg,,S. Walter Stewart,S. Walter Stewart | Toronto Public Library ,Toronto Public Library ,2022,"Available: Epson V600 photo, negative, slide and document scanner.",Digitization and Document Equipment ,"171 Memorial Park Avenue 
Toronto, ON  M4J 2K5",43.69242631,-79.329711,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,CC BY 3.0 / gratuit ,/credits.html
torontoreferencelibrary1,3dprinter.jpg,,Toronto Reference Library,Toronto Reference Library | Toronto Public Library ,Toronto Public Library ,2022,Available: 3D printers and a variety of design software.,3D Printer,"789 Yonge Street
Toronto
M4W 2G8",43.67279947,-79.38694468,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/3D-design-print.jsp,,image,,Unsplash / eMotion Tech,/credits.html
torontoreferencelibrary2,computing.jpg,,Toronto Reference Library,Toronto Reference Library | Toronto Public Library ,Toronto Public Library ,2022,"Available: Arduino Kits can be taken home or used in the library. Kits include the Arduino itself, an instructional booklet and all the components needed to complete projects in the booklet. There are three kits for different skill levels.",Computing and Coding Equipment ,"789 Yonge Street
Toronto
M4W 2G8",43.67279947,-79.38694468,Circulating,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/arduino.jsp,,image,,Unsplash / Alessandro Oliverio,/credits.html
torontoreferencelibrary3,software.jpg,,Toronto Reference Library,Toronto Reference Library | Toronto Public Library ,Toronto Public Library ,2022,"Available: software for digital learning and creation, including Adobe Creative Cloud; Wacom Cintiq graphic tablets.",Design and Software Studio ,"789 Yonge Street
Toronto
M4W 2G8",43.67279947,-79.38694468,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,Unsplash / Carl Heyerdahl,/credits.html
torontoreferencelibrary4,recording.jpg,,Toronto Reference Library,Toronto Reference Library | Toronto Public Library ,Toronto Public Library ,2022,"Available: iMac with Adobe CC, Final Cut Pro X, Logic Pro X and Ableton Live; Studio speakers; Microphones; Microphone Stands and Cables; USB Audio Interface; MIDI Interfaces; Video Camera (including tripods, cables); DSLR Camera (including tripods, cables); LED Studio Lighting; Headphones; Green screen/Green wall.",Recording Studio and Equipment ,"789 Yonge Street
Toronto
M4W 2G8",43.67279947,-79.38694468,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/recording-studio.jsp,,image,,Unsplash / Will Francis,/credits.html
yorkwoods1,closed.jpg,,York Woods,York Woods | Toronto Public Library ,Toronto Public Library ,2022,Makerspaces unavailable,Temporarily Closed,"1785 Finch Avenue West 
Toronto, ON  M3N 1M6",43.75899744,-79.50729207,In-Library,,https://www.torontopubliclibrary.ca/yorkwoods/,,image,,Pexels / Tim Mossholder,/credits.html
